Date,Client name,Order Quantity,Material
2/6/2020,c1,80,12311281
2/6/2020,c1,6,12311292
2/6/2020,c1,0,12311292
2/6/2020,c1,432,12173498
1/16/2020,c1,62,12382707
1/16/2020,c1,144,12350013
1/16/2020,c1,72,12292602
1/16/2020,c1,288,12173501
1/16/2020,c1,192,12173498
1/16/2020,c1,0,12173498
1/16/2020,c1,72,12267183
2/11/2020,c1,17,12246757
2/11/2020,c1,26,11250398
2/11/2020,c1,0,11250398
2/11/2020,c1,8,12246749
2/11/2020,c1,1,12412450
2/11/2020,c1,3,12412443
2/11/2020,c1,4,12412439
2/11/2020,c1,1,12412438
2/11/2020,c1,1,12412444
2/11/2020,c1,26,12366065
2/11/2020,c1,11,12407292
2/11/2020,c1,15,12191186
2/11/2020,c1,15,12349854
2/11/2020,c1,8,12350033
2/11/2020,c1,6,12230524
2/11/2020,c1,24,12246726
2/11/2020,c1,7,12322423
2/11/2020,c1,20,12366008
2/11/2020,c1,9,12381483
2/11/2020,c1,36,12293725
2/11/2020,c1,38,12293726
2/11/2020,c1,10,12311239
2/11/2020,c1,18,12311236
2/11/2020,c1,6,12322313
2/11/2020,c1,6,12322315
2/11/2020,c1,11,12321166
2/11/2020,c1,40,12349828
2/11/2020,c1,2,12311261
2/11/2020,c1,40,12397826
2/11/2020,c1,10,12353675
2/11/2020,c1,21,12349826
2/11/2020,c1,6,12349829
2/11/2020,c1,9,12322319
2/11/2020,c1,7,12322345
1/17/2020,c1,5,12311227
1/17/2020,c1,5,12411624
1/17/2020,c1,12,12417101
1/17/2020,c1,44,12416068
1/17/2020,c1,5,12416124
1/17/2020,c1,6,12411639
1/17/2020,c1,8,12416930
1/17/2020,c1,7,12416123
1/17/2020,c1,22,12416091
1/17/2020,c1,5,12407306
1/17/2020,c1,4,12416116
1/17/2020,c1,7,12382188
1/17/2020,c1,6,12382189
1/17/2020,c1,18,12208334
1/17/2020,c1,12,12227501
1/17/2020,c1,11,12382706
1/17/2020,c1,28,12420232
10/7/2019,c1,1935,12240834
10/7/2019,c1,1935,12240834
10/7/2019,c1,1935,12306099
1/31/2020,c1,31,12246757
1/31/2020,c1,61,12095075
1/31/2020,c1,32,11250398
1/31/2020,c1,68,12131456
1/31/2020,c1,0,12131456
1/31/2020,c1,16,12246746
1/31/2020,c1,12,12246749
1/31/2020,c1,2,12412450
1/31/2020,c1,13,12412443
1/31/2020,c1,8,12412439
1/31/2020,c1,4,12412438
1/31/2020,c1,2,12412444
1/31/2020,c1,64,12262742
1/31/2020,c1,52,12366065
1/31/2020,c1,15,12407292
1/31/2020,c1,19,12191186
1/31/2020,c1,8,12350033
1/31/2020,c1,6,12230523
1/31/2020,c1,12,12230524
1/31/2020,c1,37,12246726
1/31/2020,c1,9,12322423
1/31/2020,c1,13,12366008
1/31/2020,c1,1,12407293
1/31/2020,c1,1,12350042
1/31/2020,c1,3,12320372
1/31/2020,c1,19,12381483
1/31/2020,c1,6,12412256
1/31/2020,c1,26,12293725
1/31/2020,c1,32,12293726
1/31/2020,c1,9,12311239
1/31/2020,c1,3,12208317
1/31/2020,c1,80,12311288
1/31/2020,c1,18,12311236
1/31/2020,c1,7,12322313
1/31/2020,c1,4,12322315
1/31/2020,c1,13,12321166
1/31/2020,c1,41,12349828
1/31/2020,c1,3,12311261
1/31/2020,c1,43,12397826
1/31/2020,c1,4,12353675
1/31/2020,c1,2,12349826
1/31/2020,c1,17,12322319
1/31/2020,c1,7,12322345
1/17/2020,c1,126,12311227
1/17/2020,c1,136,12411624
1/17/2020,c1,284,12417101
1/17/2020,c1,866,12416068
1/17/2020,c1,128,12416124
1/17/2020,c1,88,12411639
1/17/2020,c1,196,12416930
1/17/2020,c1,178,12416123
1/17/2020,c1,466,12416091
1/17/2020,c1,104,12407306
1/17/2020,c1,93,12416116
1/17/2020,c1,156,12382188
1/17/2020,c1,146,12382189
1/17/2020,c1,402,12208334
1/17/2020,c1,286,12227501
1/17/2020,c1,222,12382706
1/17/2020,c1,708,12420232
1/31/2020,c1,17,12246757
1/31/2020,c1,25,11250398
1/31/2020,c1,0,11250398
1/31/2020,c1,10,12412450
1/31/2020,c1,4,12412443
1/31/2020,c1,6,12412439
1/31/2020,c1,6,12412438
1/31/2020,c1,5,12412444
1/31/2020,c1,31,12366065
1/31/2020,c1,6,12407292
1/31/2020,c1,23,12191186
1/31/2020,c1,15,12349854
1/31/2020,c1,3,12350033
1/31/2020,c1,14,12230524
1/31/2020,c1,32,12246726
1/31/2020,c1,7,12322423
1/31/2020,c1,12,12366008
1/31/2020,c1,1,12407293
1/31/2020,c1,5,12350042
1/31/2020,c1,2,12320372
1/31/2020,c1,11,12381483
1/31/2020,c1,37,12412256
1/31/2020,c1,43,12293725
1/31/2020,c1,34,12293726
1/31/2020,c1,13,12311239
1/31/2020,c1,2,12208317
1/31/2020,c1,7,12311236
1/31/2020,c1,5,12322315
1/31/2020,c1,5,12321166
1/31/2020,c1,24,12349828
1/31/2020,c1,1,12311261
1/31/2020,c1,12,12397826
1/31/2020,c1,2,12353675
1/31/2020,c1,19,12349826
1/31/2020,c1,7,12322319
1/31/2020,c1,6,12322345
2/3/2020,c1,25,12246757
2/3/2020,c1,32,12095075
2/3/2020,c1,70,11250398
2/3/2020,c1,43,12131456
2/3/2020,c1,0,12131456
2/3/2020,c1,2,12246749
2/3/2020,c1,5,12412450
2/3/2020,c1,4,12412443
2/3/2020,c1,6,12412439
2/3/2020,c1,2,12412438
2/3/2020,c1,6,12412444
2/3/2020,c1,96,12262742
2/3/2020,c1,50,12366065
2/3/2020,c1,12,12407292
2/3/2020,c1,14,12191186
2/3/2020,c1,2,12349854
2/3/2020,c1,2,12350033
2/3/2020,c1,3,12230523
2/3/2020,c1,7,12230524
2/3/2020,c1,35,12246726
2/3/2020,c1,5,12322423
2/3/2020,c1,13,12366008
2/3/2020,c1,1,12350042
2/3/2020,c1,15,12381483
2/3/2020,c1,2,12412256
2/3/2020,c1,21,12311239
2/3/2020,c1,3,12208317
2/3/2020,c1,128,12311288
2/3/2020,c1,7,12311236
2/3/2020,c1,1,12322315
2/3/2020,c1,4,12321166
2/3/2020,c1,20,12349828
2/3/2020,c1,4,12397826
2/3/2020,c1,1,12353675
2/3/2020,c1,2,12349826
2/3/2020,c1,2,12349829
2/3/2020,c1,5,12322319
2/3/2020,c1,4,12322345
1/2/2020,c1,96,12311290
1/2/2020,c1,48,12311278
1/2/2020,c1,20,12382707
1/2/2020,c1,72,12292602
1/2/2020,c1,48,12223554
1/2/2020,c1,48,12216835
1/2/2020,c1,48,12222901
1/2/2020,c1,48,12216837
1/2/2020,c1,96,12222910
1/2/2020,c1,96,12222900
1/2/2020,c1,48,12216836
1/2/2020,c1,48,12222906
1/2/2020,c1,48,12173496
1/2/2020,c1,96,12173498
1/2/2020,c1,48,12173500
1/2/2020,c1,0,12173500
1/17/2020,c1,141,12311227
1/17/2020,c1,160,12411624
1/17/2020,c1,252,12417101
1/17/2020,c1,758,12416068
1/17/2020,c1,145,12416124
1/17/2020,c1,129,12411639
1/17/2020,c1,218,12416930
1/17/2020,c1,213,12416123
1/17/2020,c1,405,12416091
1/17/2020,c1,149,12407306
1/17/2020,c1,130,12416116
1/17/2020,c1,169,12382188
1/17/2020,c1,165,12382189
1/17/2020,c1,394,12208334
1/17/2020,c1,262,12227501
1/17/2020,c1,241,12382706
1/17/2020,c1,800,12420232
1/17/2020,c1,123,12311227
1/17/2020,c1,119,12411624
1/17/2020,c1,248,12417101
1/17/2020,c1,576,12416068
1/17/2020,c1,128,12416124
1/17/2020,c1,78,12411639
1/17/2020,c1,208,12416930
1/17/2020,c1,194,12416123
1/17/2020,c1,258,12416091
1/17/2020,c1,137,12407306
1/17/2020,c1,113,12416116
1/17/2020,c1,129,12382188
1/17/2020,c1,104,12382189
1/17/2020,c1,386,12208334
1/17/2020,c1,248,12227501
1/17/2020,c1,234,12382706
1/17/2020,c1,768,12420232
12/24/2019,c1,8,12262525
12/30/2019,c1,48,12311290
12/30/2019,c1,48,12311304
12/30/2019,c1,7,12382707
12/30/2019,c1,48,12216835
12/30/2019,c1,96,12222901
12/30/2019,c1,48,12222903
12/30/2019,c1,144,12216837
12/30/2019,c1,48,12222910
12/30/2019,c1,48,12222900
12/30/2019,c1,48,12216836
12/30/2019,c1,48,12222906
12/30/2019,c1,48,12222889
12/30/2019,c1,48,12173501
12/30/2019,c1,96,12173498
12/30/2019,c1,96,12173500
12/30/2019,c1,48,12173499
12/30/2019,c1,48,12173497
12/30/2019,c1,72,12173497
1/2/2020,c1,22,12382707
1/2/2020,c1,96,12216835
1/2/2020,c1,144,12216837
1/2/2020,c1,48,12173501
1/2/2020,c1,96,12173498
1/2/2020,c1,48,12173500
1/2/2020,c1,48,12173499
1/2/2020,c1,48,12173497
1/2/2020,c1,0,12173497
1/2/2020,c1,48,12261564
2/10/2020,c1,12,12246757
2/10/2020,c1,19,11250398
2/10/2020,c1,0,11250398
2/10/2020,c1,5,12246749
2/10/2020,c1,1,12412450
2/10/2020,c1,1,12412443
2/10/2020,c1,3,12412439
2/10/2020,c1,1,12412444
2/10/2020,c1,15,12366065
2/10/2020,c1,11,12407292
2/10/2020,c1,9,12191186
2/10/2020,c1,4,12230524
2/10/2020,c1,13,12246726
2/10/2020,c1,4,12322423
2/10/2020,c1,10,12366008
2/10/2020,c1,2,12407294
2/10/2020,c1,10,12381483
2/10/2020,c1,22,12412256
2/10/2020,c1,8,12293725
2/10/2020,c1,20,12293726
2/10/2020,c1,3,12311239
2/10/2020,c1,3,12311236
2/10/2020,c1,3,12321166
2/10/2020,c1,21,12349828
2/10/2020,c1,14,12397826
2/10/2020,c1,6,12353675
2/10/2020,c1,9,12349826
2/10/2020,c1,3,12349829
2/10/2020,c1,6,12322319
2/10/2020,c1,7,12322345
2/13/2020,c1,6,12365998
2/13/2020,c1,86,12311281
2/13/2020,c1,11,12311292
2/13/2020,c1,1,12311298
2/13/2020,c1,48,12173501
2/13/2020,c1,624,12173498
2/13/2020,c1,0,12173498
12/9/2019,c1,256,12349858
12/9/2019,c1,98,12349858
12/9/2019,c1,2,12349858
12/9/2019,c1,64,12412229
12/9/2019,c1,20,12412255
12/9/2019,c1,31,12412229
12/9/2019,c1,81,12412229
2/6/2020,c1,2,12427510
2/6/2020,c1,0,12427510
2/6/2020,c1,5,12412229
12/9/2019,c1,10,12349858
12/9/2019,c1,54,12349858
12/9/2019,c1,20,12412229
12/9/2019,c1,102,12412255
12/9/2019,c1,102,12412229
12/9/2019,c1,81,12412255
12/9/2019,c1,92,12349858
12/9/2019,c1,19,12412255
12/9/2019,c1,64,12412255
12/9/2019,c1,18,12412229
12/9/2019,c1,19,12412229
12/9/2019,c1,18,12412255
12/9/2019,c1,31,12412255
1/14/2020,c1,72,12350013
1/14/2020,c1,144,12292602
1/14/2020,c1,240,12173501
1/14/2020,c1,576,12173498
1/14/2020,c1,144,12173497
1/14/2020,c1,0,12173497
1/14/2020,c1,72,12267183
1/14/2020,c1,96,12261564
1/17/2020,c1,7,12311227
1/17/2020,c1,7,12411624
1/17/2020,c1,24,12417101
1/17/2020,c1,70,12416068
1/17/2020,c1,7,12416124
1/17/2020,c1,2,12411639
1/17/2020,c1,10,12416930
1/17/2020,c1,8,12416123
1/17/2020,c1,37,12416091
1/17/2020,c1,5,12407306
1/17/2020,c1,4,12416116
1/17/2020,c1,10,12382188
1/17/2020,c1,7,12382189
1/17/2020,c1,28,12208334
1/17/2020,c1,24,12227501
1/17/2020,c1,16,12382706
1/17/2020,c1,34,12420232
2/3/2020,c1,40,12246757
2/3/2020,c1,78,12095075
2/3/2020,c1,43,11250398
2/3/2020,c1,0,11250398
2/3/2020,c1,5,12246749
2/3/2020,c1,17,12407292
2/3/2020,c1,16,12191186
2/3/2020,c1,18,12230523
2/3/2020,c1,3,12230524
2/3/2020,c1,70,12246726
2/3/2020,c1,10,12322423
2/3/2020,c1,25,12366008
2/3/2020,c1,1,12407294
2/3/2020,c1,1,12350042
2/3/2020,c1,2,12320372
2/3/2020,c1,14,12412256
2/3/2020,c1,34,12293725
